Nr, C, P, Nr, C, P,
32, C, ,207, ed, ,
37, B, ,212, ed, ,
42, B, ,217, ed, ,
47, A, ,222, ed, ,
52, B, ,227, ed, ,
57, C, ,232, ed, ,
62, C, ,237, ed, ,
67, C, ,242, ed, ,
72, B, ,247, ed, ,
77, C, ,252, ed, ,
82, A, ,257, ed, ,
87, C, ,262, ed, ,
92, A, ,267, ed, ,
97, A, ,272, ed, ,
102, C, ,277, ed, ,
107, B, ,282, ed, ,
112, C, ,287, ed, ,
117, C, ,292, ed, ,
122, C, ,297, ed, ,
127, C, ,302, ed, ,
132, C, ,307, ed, ,
137, A, ,312, ed, ,
142, A, ,317, ed, ,
147, A, ,322, ed, ,
152, C, ,327, ed, ,
157, A, ,332, ed, ,
162, C, ,337, ed, ,
167, A, ,342, ed, ,
172, A, ,347, ed, ,
177, B, ,352, ed, ,

