Nr, C, P, Nr, C, P,
31, C, ,204, ed, ,
36, C, ,209, ed, ,
41, C, ,214, ed, ,
46, A, ,219, ed, ,
51, C, ,224, ed, ,
56, B, ,229, ed, ,
61, A, ,234, ed, ,
66, A, ,239, ed, ,
71, C, ,244, ed, ,
76, C, ,249, ed, ,
81, B, ,254, ed, ,
86, C, ,259, ed, ,
91, B, ,264, ed, ,
96, B, ,269, ed, ,
101, A, ,274, ed, ,
106, A, ,279, ed, ,
111, C, ,284, ed, ,
116, A, ,289, ed, ,
121, A, ,294, ed, ,
126, B, ,299, ed, ,
131, C, ,304, ed, ,
136, B, ,309, ed, ,
141, C, ,314, ed, ,
146, A, ,319, ed, ,
151, C, ,324, ed, ,
156, A, ,329, ed, ,
161, C, ,334, ed, ,
166, C, ,339, ed, ,
171, A, ,344, ed, ,
176, C, ,349, ed, ,
