Nr, C, P, Nr, C, P,
32, B, ,207, ed, ,
37, C, ,212, ed, ,
42, C, ,217, ed, ,
47, A, ,222, ed, ,
52, C, ,227, ed, ,
57, C, ,232, ed, ,
62, A, ,237, ed, ,
67, C, ,242, ed, ,
72, A, ,247, ed, ,
77, C, ,252, ed, ,
82, B, ,257, ed, ,
87, C, ,262, ed, ,
92, B, ,267, ed, ,
97, B, ,272, ed, ,
102, A, ,277, ed, ,
107, A, ,282, ed, ,
112, B, ,287, ed, ,
117, A, ,292, ed, ,
122, C, ,297, ed, ,
127, C, ,302, ed, ,
132, C, ,307, ed, ,
137, C, ,312, ed, ,
142, C, ,317, ed, ,
147, C, ,322, ed, ,
152, A, ,327, ed, ,
157, B, ,332, ed, ,
162, A, ,337, ed, ,
167, A, ,342, ed, ,
172, C, ,347, ed, ,
177, A, ,352, ed, ,

