Part, Rownumber, Seat, Error, Easy
30, 203, 0, , easy
30, 204, 1, , easy
30, 205, 2, , easy
30, 206, 3, , easy
30, 207, 4, false, easy
30, 208, 0, , easy
30, 209, 1, , easy
30, 210, 2, , easy
30, 211, 3, , easy
30, 212, 4, false, easy
30, 213, 0, , easy
30, 214, 1, , easy
30, 215, 2, , easy
30, 216, 3, , easy
30, 217, 4, true, easy
30, 218, 0, , easy
30, 219, 1, , easy
30, 220, 2, , easy
30, 221, 3, , easy
30, 222, 4, false, easy
30, 223, 0, , easy
30, 224, 1, , easy
30, 225, 2, , easy
30, 226, 3, , easy
30, 227, 4, false, easy
30, 228, 0, , easy
30, 229, 1, , easy
30, 230, 2, , easy
30, 231, 3, , easy
30, 232, 4, false, easy
30, 233, 0, , easy
30, 234, 1, , easy
30, 235, 2, , easy
30, 236, 3, , easy
30, 237, 4, false, easy
30, 238, 0, , easy
30, 239, 1, , easy
30, 240, 2, , easy
30, 241, 3, , easy
30, 242, 4, false, easy
30, 243, 0, , easy
30, 244, 1, , easy
30, 245, 2, , easy
30, 246, 3, , easy
30, 247, 4, false, easy
30, 248, 0, , easy
30, 249, 1, , easy
30, 250, 2, , easy
30, 251, 3, , easy
30, 252, 4, false, easy
30, 253, 0, , easy
30, 254, 1, , easy
30, 255, 2, , easy
30, 256, 3, , easy
30, 257, 4, false, easy
30, 258, 0, , easy
30, 259, 1, , easy
30, 260, 2, , easy
30, 261, 3, , easy
30, 262, 4, false, easy
30, 263, 0, , easy
30, 264, 1, , easy
30, 265, 2, , easy
30, 266, 3, , easy
30, 267, 4, false, easy
30, 268, 0, , easy
30, 269, 1, , easy
30, 270, 2, , easy
30, 271, 3, , easy
30, 272, 4, false, easy
30, 273, 0, , easy
30, 274, 1, , easy
30, 275, 2, , easy
30, 276, 3, , easy
30, 277, 4, false, easy
30, 278, 0, , hard
30, 279, 1, , hard
30, 280, 2, , hard
30, 281, 3, , hard
30, 282, 4, false, hard
30, 283, 0, , hard
30, 284, 1, , hard
30, 285, 2, , hard
30, 286, 3, , hard
30, 287, 4, false, hard
30, 288, 0, , hard
30, 289, 1, , hard
30, 290, 2, , hard
30, 291, 3, , hard
30, 292, 4, false, hard
30, 293, 0, , hard
30, 294, 1, , hard
30, 295, 2, , hard
30, 296, 3, , hard
30, 297, 4, false, hard
30, 298, 0, , hard
30, 299, 1, , hard
30, 300, 2, , hard
30, 301, 3, , hard
30, 302, 4, false, hard
30, 303, 0, , hard
30, 304, 1, , hard
30, 305, 2, , hard
30, 306, 3, , hard
30, 307, 4, false, hard
30, 308, 0, , hard
30, 309, 1, , hard
30, 310, 2, , hard
30, 311, 3, , hard
30, 312, 4, false, hard
30, 313, 0, , hard
30, 314, 1, , hard
30, 315, 2, , hard
30, 316, 3, , hard
30, 317, 4, false, hard
30, 318, 0, , hard
30, 319, 1, , hard
30, 320, 2, , hard
30, 321, 3, , hard
30, 322, 4, false, hard
30, 323, 0, , hard
30, 324, 1, , hard
30, 325, 2, , hard
30, 326, 3, , hard
30, 327, 4, false, hard
30, 328, 0, , hard
30, 329, 1, , hard
30, 330, 2, , hard
30, 331, 3, , hard
30, 332, 4, false, hard
30, 333, 0, , hard
30, 334, 1, , hard
30, 335, 2, , hard
30, 336, 3, , hard
30, 337, 4, false, hard
30, 338, 0, , hard
30, 339, 1, , hard
30, 340, 2, , hard
30, 341, 3, , hard
30, 342, 4, false, hard
30, 343, 0, , hard
30, 344, 1, , hard
30, 345, 2, , hard
30, 346, 3, , hard
30, 347, 4, false, hard
30, 348, 0, , hard
30, 349, 1, , hard
30, 350, 2, , hard
30, 351, 3, , hard
30, 352, 4, false, hard
31, 28, 0, , easy
31, 29, 1, , easy
31, 30, 2, , easy
31, 31, 3, , easy
31, 32, 4, true, easy
31, 33, 0, , easy
31, 34, 1, , easy
31, 35, 2, , easy
31, 36, 3, , easy
31, 37, 4, true, easy
31, 38, 0, , easy
31, 39, 1, , easy
31, 40, 2, , easy
31, 41, 3, , easy
31, 42, 4, true, easy
31, 43, 0, , easy
31, 44, 1, , easy
31, 45, 2, , easy
31, 46, 3, , easy
31, 47, 4, true, easy
31, 48, 0, , easy
31, 49, 1, , easy
31, 50, 2, , easy
31, 51, 3, , easy
31, 52, 4, true, easy
31, 53, 0, , easy
31, 54, 1, , easy
31, 55, 2, , easy
31, 56, 3, , easy
31, 57, 4, false, easy
31, 58, 0, , easy
31, 59, 1, , easy
31, 60, 2, , easy
31, 61, 3, , easy
31, 62, 4, false, easy
31, 63, 0, , easy
31, 64, 1, , easy
31, 65, 2, , easy
31, 66, 3, , easy
31, 67, 4, true, easy
31, 68, 0, , easy
31, 69, 1, , easy
31, 70, 2, , easy
31, 71, 3, , easy
31, 72, 4, true, easy
31, 73, 0, , easy
31, 74, 1, , easy
31, 75, 2, , easy
31, 76, 3, , easy
31, 77, 4, true, easy
31, 78, 0, , easy
31, 79, 1, , easy
31, 80, 2, , easy
31, 81, 3, , easy
31, 82, 4, false, easy
31, 83, 0, , easy
31, 84, 1, , easy
31, 85, 2, , easy
31, 86, 3, , easy
31, 87, 4, true, easy
31, 88, 0, , easy
31, 89, 1, , easy
31, 90, 2, , easy
31, 91, 3, , easy
31, 92, 4, true, easy
31, 93, 0, , easy
31, 94, 1, , easy
31, 95, 2, , easy
31, 96, 3, , easy
31, 97, 4, false, easy
31, 98, 0, , easy
31, 99, 1, , easy
31, 100, 2, , easy
31, 101, 3, , easy
31, 102, 4, false, easy
31, 103, 0, , hard
31, 104, 1, , hard
31, 105, 2, , hard
31, 106, 3, , hard
31, 107, 4, false, hard
31, 108, 0, , hard
31, 109, 1, , hard
31, 110, 2, , hard
31, 111, 3, , hard
31, 112, 4, false, hard
31, 113, 0, , hard
31, 114, 1, , hard
31, 115, 2, , hard
31, 116, 3, , hard
31, 117, 4, false, hard
31, 118, 0, , hard
31, 119, 1, , hard
31, 120, 2, , hard
31, 121, 3, , hard
31, 122, 4, true, hard
31, 123, 0, , hard
31, 124, 1, , hard
31, 125, 2, , hard
31, 126, 3, , hard
31, 127, 4, false, hard
31, 128, 0, , hard
31, 129, 1, , hard
31, 130, 2, , hard
31, 131, 3, , hard
31, 132, 4, false, hard
31, 133, 0, , hard
31, 134, 1, , hard
31, 135, 2, , hard
31, 136, 3, , hard
31, 137, 4, false, hard
31, 138, 0, , hard
31, 139, 1, , hard
31, 140, 2, , hard
31, 141, 3, , hard
31, 142, 4, false, hard
31, 143, 0, , hard
31, 144, 1, , hard
31, 145, 2, , hard
31, 146, 3, , hard
31, 147, 4, false, hard
31, 148, 0, , hard
31, 149, 1, , hard
31, 150, 2, , hard
31, 151, 3, , hard
31, 152, 4, false, hard
31, 153, 0, , hard
31, 154, 1, , hard
31, 155, 2, , hard
31, 156, 3, , hard
31, 157, 4, false, hard
31, 158, 0, , hard
31, 159, 1, , hard
31, 160, 2, , hard
31, 161, 3, , hard
31, 162, 4, false, hard
31, 163, 0, , hard
31, 164, 1, , hard
31, 165, 2, , hard
31, 166, 3, , hard
31, 167, 4, false, hard
31, 168, 0, , hard
31, 169, 1, , hard
31, 170, 2, , hard
31, 171, 3, , hard
31, 172, 4, false, hard
31, 173, 0, , hard
31, 174, 1, , hard
31, 175, 2, , hard
31, 176, 3, , hard
31, 177, 4, false, hard
32, 203, 0, , easy
32, 204, 1, , easy
32, 205, 2, , easy
32, 206, 3, , easy
32, 207, 4, false, easy
32, 208, 0, , easy
32, 209, 1, , easy
32, 210, 2, , easy
32, 211, 3, , easy
32, 212, 4, false, easy
32, 213, 0, , easy
32, 214, 1, , easy
32, 215, 2, , easy
32, 216, 3, , easy
32, 217, 4, false, easy
32, 218, 0, , easy
32, 219, 1, , easy
32, 220, 2, , easy
32, 221, 3, , easy
32, 222, 4, false, easy
32, 223, 0, , easy
32, 224, 1, , easy
32, 225, 2, , easy
32, 226, 3, , easy
32, 227, 4, true, easy
32, 228, 0, , easy
32, 229, 1, , easy
32, 230, 2, , easy
32, 231, 3, , easy
32, 232, 4, false, easy
32, 233, 0, , easy
32, 234, 1, , easy
32, 235, 2, , easy
32, 236, 3, , easy
32, 237, 4, true, easy
32, 238, 0, , easy
32, 239, 1, , easy
32, 240, 2, , easy
32, 241, 3, , easy
32, 242, 4, false, easy
32, 243, 0, , easy
32, 244, 1, , easy
32, 245, 2, , easy
32, 246, 3, , easy
32, 247, 4, true, easy
32, 248, 0, , easy
32, 249, 1, , easy
32, 250, 2, , easy
32, 251, 3, , easy
32, 252, 4, false, easy
32, 253, 0, , easy
32, 254, 1, , easy
32, 255, 2, , easy
32, 256, 3, , easy
32, 257, 4, true, easy
32, 258, 0, , easy
32, 259, 1, , easy
32, 260, 2, , easy
32, 261, 3, , easy
32, 262, 4, false, easy
32, 263, 0, , easy
32, 264, 1, , easy
32, 265, 2, , easy
32, 266, 3, , easy
32, 267, 4, false, easy
32, 268, 0, , easy
32, 269, 1, , easy
