Part, Rownumber, Seat, Word, Error
40, 32, 4, lean, true
40, 37, 4, learn, true
40, 42, 4, thrive, true
40, 47, 4, wet, true
40, 52, 4, ring, false
40, 57, 4, dream, false
40, 62, 4, spell, false
40, 67, 4, weave, true
40, 72, 4, bust, true
40, 77, 4, spring, false
40, 82, 4, leap, false
40, 87, 4, spoil, true
40, 92, 4, drive, false
40, 97, 4, spit, false
40, 102, 4, shrink, false
40, 107, 4, stand, false
40, 112, 4, lose, false
40, 117, 4, read, false
40, 122, 4, write, false
40, 127, 4, keep, false
40, 132, 4, hear, false
40, 137, 4, bring, false
40, 142, 4, hit, false
40, 147, 4, hold, false
40, 152, 4, sit, false
40, 157, 4, find, false
40, 162, 4, leave, false
40, 167, 4, put, false
40, 172, 4, give, false
40, 177, 4, feel, false
