Slide,Mistakes,Average Time, V1,V2,V3,Min Abs, Min Delta
0,0,0,0.975,0.025,0.175,2.564,0.150
1,0,2946,0.025,0.050,0.975,2.564,0.025
2,5,5278,0.325,0.950,0.975,33.333,0.025
3,0,1886,0.975,0.550,0.025,2.564,0.425
4,0,1724,0.525,0.975,0.025,2.564,0.450
5,0,1643,0.800,0.975,0.025,2.564,0.175
6,9,5818,0.925,0.950,0.975,94.872,0.025
7,0,2013,0.025,0.275,0.050,9.091,0.025
8,0,1360,0.025,0.050,0.525,4.762,0.025
9,1,2515,0.975,0.025,0.900,2.564,0.075
10,0,1653,0.975,0.025,0.950,2.564,0.025
11,1,2130,0.025,0.975,0.875,2.564,0.100
12,0,1593,0.450,0.975,0.950,46.154,0.025
13,5,6072,0.950,0.975,0.150,15.385,0.025
14,0,1721,0.050,0.125,0.025,20.000,0.025
15,4,4387,0.575,0.975,0.950,58.974,0.025
16,0,3610,0.975,0.950,0.775,79.487,0.025
17,1,2549,0.900,0.025,0.050,2.778,0.025
18,0,1810,0.050,0.025,0.225,11.111,0.025
19,0,1561,0.225,0.025,0.975,2.564,0.200
20,5,3745,0.975,0.950,0.175,17.949,0.025
21,0,1674,0.600,0.975,0.025,2.564,0.375
22,1,1318,0.325,0.050,0.025,7.692,0.025
23,0,2037,0.025,0.150,0.050,16.667,0.025
24,0,1896,0.675,0.975,0.950,69.231,0.025
25,0,1324,0.075,0.950,0.975,7.692,0.025
26,0,2078,0.375,0.025,0.050,6.667,0.025
27,0,1449,0.025,0.050,0.600,4.167,0.025
28,0,1236,0.025,0.050,0.675,3.704,0.025
29,4,4239,0.650,0.975,0.950,66.667,0.025
30,1,1544,0.825,0.025,0.975,2.564,0.150
31,6,4077,0.950,0.375,0.975,38.462,0.025
32,4,3499,0.950,0.225,0.975,23.077,0.025
33,0,1765,0.200,0.975,0.025,2.564,0.175
34,0,1821,0.975,0.025,0.675,2.564,0.300
35,0,1556,0.025,0.450,0.975,2.564,0.425
36,0,1664,0.050,0.950,0.025,2.632,0.025
37,0,1620,0.025,0.975,0.500,2.564,0.475
38,5,4161,0.975,0.525,0.950,53.846,0.025
39,1,2309,0.975,0.200,0.950,20.513,0.025
40,0,2129,0.950,0.975,0.500,51.282,0.025
41,4,3077,0.950,0.350,0.975,35.897,0.025
42,0,2206,0.050,0.025,0.875,2.857,0.025
43,1,1712,0.975,0.625,0.025,2.564,0.350
44,3,3458,0.950,0.875,0.975,89.744,0.025
45,0,1614,0.475,0.025,0.050,5.263,0.025
46,4,4193,0.950,0.975,0.850,87.179,0.025
47,0,1583,0.950,0.975,0.725,74.359,0.025
48,0,1496,0.750,0.025,0.975,2.564,0.225
49,1,1522,0.975,0.025,0.300,2.564,0.275
50,0,1461,0.175,0.025,0.050,14.286,0.025
51,0,1382,0.850,0.025,0.050,2.941,0.025
52,0,1931,0.825,0.025,0.050,3.030,0.025
53,0,1684,0.025,0.250,0.050,10.000,0.025
54,1,2031,0.975,0.850,0.025,2.564,0.125
55,0,1754,0.575,0.025,0.050,4.348,0.025
56,0,1276,0.400,0.025,0.050,6.250,0.025
57,0,1956,0.025,0.975,0.775,2.564,0.200
58,6,4238,0.975,0.750,0.950,76.923,0.025
59,0,2135,0.025,0.725,0.975,2.564,0.250
60,0,1815,0.025,0.050,0.775,3.226,0.025
61,5,4441,0.700,0.950,0.975,71.795,0.025
62,1,1882,0.450,0.025,0.050,5.556,0.025
63,0,1517,0.975,0.950,0.050,5.128,0.025
64,6,3992,0.950,0.975,0.825,84.615,0.025
65,0,1435,0.375,0.975,0.025,2.564,0.350
66,0,1285,0.050,0.025,0.750,3.333,0.025
67,0,1964,0.050,0.625,0.025,4.000,0.025
68,0,1538,0.975,0.025,0.100,2.564,0.075
69,6,3239,0.975,0.950,0.600,61.538,0.025
70,2,2369,0.425,0.975,0.950,43.590,0.025
71,0,1476,0.275,0.025,0.975,2.564,0.250
72,3,2150,0.050,0.075,0.025,33.333,0.025
73,0,1427,0.975,0.025,0.075,2.564,0.050
74,1,1509,0.025,0.975,0.250,2.564,0.225
75,0,1645,0.025,0.050,0.350,7.143,0.025
76,1,1671,0.475,0.025,0.975,2.564,0.450
77,7,3068,0.950,0.900,0.975,92.308,0.025
78,0,1588,0.050,0.025,0.425,5.882,0.025
79,4,3655,0.125,0.975,0.950,12.821,0.025
80,0,1541,0.975,0.100,0.950,10.256,0.025
81,0,1596,0.025,0.050,0.650,3.846,0.025
82,1,1634,0.050,0.025,0.700,3.571,0.025
83,0,1489,0.975,0.475,0.950,48.718,0.025
84,0,1469,0.150,0.975,0.025,2.564,0.125
85,1,1716,0.400,0.975,0.025,2.564,0.375
86,0,1467,0.925,0.050,0.025,2.703,0.025
87,3,3022,0.275,0.950,0.975,28.205,0.025
88,0,1488,0.050,0.725,0.025,3.448,0.025
89,3,1784,0.800,0.025,0.050,3.125,0.025
90,1,1890,0.050,0.025,0.500,5.000,0.025
91,0,1791,0.650,0.025,0.975,2.564,0.325
92,0,1526,0.050,0.025,0.200,12.500,0.025
93,1,1447,0.975,0.025,0.575,2.564,0.400
94,1,1832,0.025,0.300,0.050,8.333,0.025
95,0,1475,0.975,0.250,0.950,25.641,0.025
96,0,1640,0.350,0.025,0.975,2.564,0.325
97,0,1699,0.975,0.625,0.950,64.103,0.025
98,5,2534,0.950,0.800,0.975,82.051,0.025
99,0,1655,0.975,0.025,0.325,2.564,0.300
100,7,2623,0.400,0.975,0.950,41.026,0.025
101,1,1705,0.025,0.700,0.975,2.564,0.275
102,0,1299,0.975,0.550,0.950,56.410,0.025
103,0,1742,0.050,0.550,0.025,4.545,0.025
104,0,1676,0.425,0.025,0.975,2.564,0.400
105,7,2865,0.950,0.300,0.975,30.769,0.025
106,1,1619,0.975,0.025,0.125,2.564,0.100
